QID,State,Region,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.4.Age,Q5.Ethnic_Group_Recode,Q6.Norms_Number_of_Meals_Per_Day,Q6.Norms_Number_of_Meals_Per_Day_Recode,Q7.Norms_Number_of_food_intakes_in_between_meals,Q8.1.Norms_for_Breakfast,Q8.2.Norms_for_Brunch,Q8.3.Norms_for_Lunch,Q8.4.Norms_for_Dinner,Q8.5.Norms_for_Supper,Q8.6.Norms_for_Snack,Q8.7.Norms_for_TeaTime,Q9.1.Number._of_Times_Eat_at_Home_Last_Week,Q9.2.Number_of_Times_Eat_Outside_Last_Week,Q9.Total_Food_Intake_the_Week_Before,Q11_1_Rice_Frequency_Basis,Q11_1_Rice_Frequency,Q11_2_Flavoured_Rice_Freuency_Basis,Q11_2_Flavoured_Rice_Frequency,Q11_3_Noodles_Freuency_Basis,Q11_3_Noodles_Frequency,Q11_4_Mihun..._Frequency_Basis,Q11_4_Mihun..._Frequency,Q11_5_Sagu...._Frequency_Basis,Q11_5_Sagu...._Frequency,Q11_6_Bread_Frequency_Basis,Q11_6_Bread_Frequency,Q11_7_Roti_Canai_Frequency_Basis,Q11_7_Roti_Canai_Frequency,Q11_8_Corn_Frequency_Basis,Q11_8_Corn_Frequency,Q11_9_ChickenDuck_Frequency_Basis,Q11_9_ChickenDuck_Frequency,Q11_10_Meat_Frequency_Basis,Q11_10_Meat_Frequency_Frequency,Q11_10_Meat_Frequency_Average_day,Q11_11_Pork_Frequency_Basis,Q11_11_Pork_Frequency,Q11_12_OtherMeat_Frequency_Basis,Q11_12_OtherMeat_Frequency,Q11_13_Fish_Frequency_Basis,Q11_13_Fish_Frequency,Q11_14_FishCrackers_Frequency_Basis,Q11_14_FishCrackers_Frequency,Q11_15_Eggs_Frequency_Basis,Q11_15_Eggs_Frequency,Q11_16_Burger_Frequency_Basis,Q11_16_Burger_Frequency,Q11_17_FriedChicken_Frequency_Basis,Q11_17_FriedChicken_Frequency,Q11_18_Legumes_Frequency_Basis,Q11_18_Legumes_Frequency,Q11_19_Groundnuts_Frequency_Basis,Q11_19_Groundnuts_Frequency,Q11_20_SoyaBeanCurd_Frequency_Basis,Q11_20_SoyaBeanCurd_Frequency,Q11_21_FermentedSoyBeans_Frequency_Basis,Q11_21_FermentedSoyBeans_Frequency,Q11_22_Milk_Frequency_Basis,Q11_22_Milk_Frequency,Q11_23_MilkShake_Frequency_Basis,Q11_23_MilkShake_Frequency,Q11_24_GreenLeafyVegetables_Frequency_Basis,Q11_24_GreenLeafyVegetables_Frequency,Q11_25_LadiesFinger_Frequency_Basis,Q11_25_LadiesFinger_Frequency,Q11_26_OtherLegumes_Frequency_Basis,Q11_26_OtherLegumes_Frequency,Q11_27_BeanSprout_Frequency_Basis,Q11_27_BeanSprout_Frequency,Q11_28_Tubers_Frequency_Basis,Q11_28_Tubers_Frequency,Q11_29_Cabbages_Frequency_Basis,Q11_29_Cabbages_Frequency,Q11_30_FruitVegetables_Frequency_Basis,Q11_30_FruitVegetables_Frequency,Q11_31_SoyMilk_Frequency_Basis,Q11_31_SoyMilk_Frequency,Q11_32_ChocolateMaltDrink_Frequency_Basis,Q11_32_ChocolateMaltDrink_Frequency,Q12_Who_Cook,Q13_Food_Statement,Q14.1_1st_Dish_Represent_Malaysian_Food_Exact_Answer,Q14.2_2nd_Dish_Represent_Malaysian_Food_Exact_Answer,Q14bis_NasiLemak_Present_Malaysian_Food,Q15.1_Eating_Well_1st,Q15.2_Eating_Well_2nd,Q16.1_Food_Beneficial_1st_Exact_Answer,Q16.2_Food_Beneficial_2nd_Exact_Answer,Q17.1_Food_to_Reduce_1st_Exact_Answer,Q17.2_Food_to_Reduce_2nd_Exact_Answer,Q18.1_Top3Risks_Risk1,Q18.2_Top3Risks_Risk2,Q18.3_Top3Risks_Risk3,Q19a_Cultural_Identity_1_Exact_Answer,Q19a_Cultural_Identity_2_Exact_Answer,Q19a_Cultural_Identity_3_Exact_Answer,Q19b.1_Rank_3_Identity_1,Q19b.2_Rank_3_Identity_2,Q19b.3_Rank_3_Identity_3,Q20.1_Race_Mother,Q20.2_Race_Father,Q20.3_Race_Grandmother_Mother,Q20.4_Race_Grandfather_Mother,Q20.5_Race_Grandmother_Father,Q20.6_Race_Grandfather_Father,Q21.1_Spoken_Language_1,Q21.2_Spoken_Language_2,Q21.3_Spoken_Language_3,Q21.4_Spoken_Language_4,Q21.5_Spoken_Language_5,Q21.6_Spoken_Language_6,Q21.10_Spoken_Language_7,Q21.11_Spoken_Language_8,Q22a_Current_Religion,Q22b_Convert_Religion,Q22c_Previous_Religion,Q23_Influence_Religion_on_FoodHabits,Q24_Height_CM,Q24_Recode_Height_M,Q25_Weight,BMI,Q26.1_1st_Occupation_Original_Answer,Q26.2_2nd_Occupation_Original_Answer,Q27_Occupation_Father_Original_Answer,Q28_Level_of_Education,Q29a_Marital_Status,Q29b_Spouse_Ethnicity,Q30_Children_Number,Q31_Family_Members_Number,Q32_Income_Average_RM_Recode_All,Q33_Changes_Personal_Income,Q34_Permission_Contact
1426,Johor,South,Yes,Male,Urban,57,Chinese,4 meals per day,4 Meals or more,3 - 4 times a day,Breakfast with Toast +/- Beverage,Breakfast with Toast +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,Sandwich / Burger / Savoury Patries +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",7,14,21,Daily,2.0,Weekly,4,Monthly,1,Monthly,1,Seldom,0,Weekly,2,Weekly,2,Seldom,0,Weekly,5,Seldom,0,0.0,Weekly,2.0,Monthly,1,Weekly,2,Seldom,0,Daily,1,Monthly,1,Weekly,2.0,Monthly,1,Seldom,0,Seldom,0,Seldom,0,Weekly,2,Weekly,3,Weekly,2,Monthly,1,Seldom,0,Seldom,0,Weekly,2,Weekly,1,Weekly,2,Monthly,1,Weekly,2,My Mother,Food must be first of all a need,Nasi lemak,Roti Canai,Strongly agree,Health,Pleasure,Fruits,Vegetables,Sugar,Salty Food,Genetically Modify Organism (GMO),Pesticides on agricultural products,Colouring or preservatives,Kind,Buddhist,Know mandarin,Malaysian,Buddhist,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Mandarin,,,,,,,,Buddhist,No,Not converted,Moderately religious,170.0,1.7,70.0,24.221453287197235,Factory Worker,,Own business,Lower secondary school / SRP,Married in monogamous marriage,Chinese,4.0,6,5000,Have remained more or less stable,No
797,N. Sembilan,South,Yes,Male,SubUrban,50,Chinese,3 meals per day,3 Meals,Never,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,,,,7,14,21,Daily,2.0,Weekly,1,Monthly,1,Monthly,2,Seldom,0,Weekly,4,Monthly,1,Seldom,0,Weekly,5,Weekly,2,0.29,Weekly,3.0,Seldom,0,Monthly,5,Monthly,5,Weekly,6,Monthly,1,Monthly,1.0,Seldom,0,Monthly,2,Monthly,2,Seldom,0,Seldom,0,Seldom,0,Daily,1,Monthly,1,Weekly,2,Monthly,1,Weekly,1,Daily,1,Daily,1,Seldom,0,Seldom,0,Others,Food must be first of all a pleasure,Nasi Lemak,Laksa,Agree,Health,Fill the stomach,Milk,Vegetables,Fried Food,Cold drink,Colouring or preservatives,Food epidemic,Expired food,Eat pork,Can bread dog,Taoist,Malaysian,Chinese,Buddhist,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Malay,Mandarin,Cantonese,Hokkien,Hakka,,,,Buddhist,No,Not converted,Decline to answer,168.0,1.68,84.0,29.761904761904763,Refuse,Decline to answer,Hawker,Lower secondary school / SRP,Decline to answer,,,5,3500,Have remained more or less stable,Yes
1293,Selangor,Central,Yes,Female,Urban,64,Malay,3 meals per day,3 Meals,Once or twice a day,Breakfast with Toast +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,Rice / Roti Canai / Noodles +/- Beverage,Rice / Roti Canai / Noodles +/- Beverage,21,0,21,Daily,1.0,Weekly,3,Monthly,3,Weekly,2,Seldom,0,Daily,1,Weekly,3,Monthly,1,Daily,1,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,4,Monthly,3,Weekly,5,Monthly,2,Monthly,2.0,Weekly,5,Seldom,0,Monthly,3,Seldom,0,Daily,1,Weekly,4,Daily,2,Weekly,2,Weekly,2,Monthly,3,Weekly,3,Weekly,4,Weekly,4,Seldom,0,Monthly,4,Myself,Food must first of all prevent health problems,Nasi lemak,Fried mee,Strongly agree,Gives Energy,Health,Vegetables,Rice,Burger,Nasi lemak,Food epidemic,Contamination by Pollutant,Genetically Modify Organism (GMO),Malay,Muslim,Malaysian,Muslim,Malay,Bumiputra,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,145.0,1.45,53.0,25.208085612366233,Student,,Decline to answer,Upper secondary school SPM / O level,Widowed,Malay,5.0,7,5000,Have remained more or less stable,No
1379,Perak,Central,Yes,Male,SubUrban,62,Malay,1 meal per day,1 or 2 Meal(s),Never,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage",1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,7,14,21,Weekly,4.0,Monthly,1,Monthly,2,Monthly,2,Seldom,0,Weekly,1,Monthly,1,Monthly,1,Daily,1,Daily,1,1.0,Seldom,0.0,Seldom,0,Monthly,1,Weekly,2,Weekly,1,Monthly,1,Monthly,2.0,Seldom,0,Seldom,0,Monthly,2,Monthly,1,Weekly,4,Monthly,2,Weekly,4,Seldom,0,Seldom,0,Weekly,1,Monthly,2,Seldom,0,Monthly,2,Monthly,1,Monthly,1,Myself,Food must be first of all a need,Mixed Rice,Chicken Rice,Agree,Health,Togetherness,Onion,Chili,Eggs,Meat,Genetically Modify Organism (GMO),Food epidemic,Germs or bacteria in Food,Attire,Language,Skin Colour,Muslim,Malay,Malaysian,Bajau,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,155.0,1.55,49.0,20.395421436004163,Housewife,,Own business,Primary school,Single or never married,,0.0,2,2000,Have remained more or less stable,No
898,Johor,South,Yes,Female,Urban,36,Malay,2 meals per day,1 or 2 Meal(s),Once or twice a day,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,Only Beverage,Only Beverage,13,1,14,Daily,1.0,Weekly,1,Seldom,0,Daily,1,Seldom,0,Weekly,2,Seldom,0,Monthly,1,Weekly,5,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,5,Seldom,0,Monthly,1.0,Monthly,2,Weekly,1,Seldom,0,Seldom,0,Monthly,2,Weekly,4,Daily,1,Weekly,2,Weekly,1,Weekly,1,Monthly,2,Weekly,1,Daily,1,Seldom,0,Seldom,0,Myself,Food must be first of all a pleasure,Satay,Nasi Lemak,Strongly agree,Health,Pleasure,Vegetables,Milk,Fried chicken,Sugar,Colouring or preservatives,Food epidemic,Contamination by Pollutant,Baju Kurung,Wear tudung,Pray 5 times a day,Malaysian,Malay,Muslim,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,167.0,1.67,75.0,26.892323138154833,Technician,,Own business,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,3.0,5,5000,Have remained more or less stable,Yes
1419,Johor,South,Yes,Female,Urban,47,Malay,2 meals per day,1 or 2 Meal(s),Once or twice a day,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage","Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",14,0,14,Daily,1.0,Weekly,3,Monthly,2,Weekly,2,Seldom,0,Weekly,3,Weekly,1,Monthly,2,Daily,1,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,1,Seldom,0,Daily,1,Monthly,1,Seldom,0.0,Weekly,3,Monthly,2,Weekly,2,Seldom,0,Monthly,2,Monthly,1,Weekly,5,Weekly,3,Weekly,4,Weekly,4,Weekly,4,Weekly,2,Weekly,2,Weekly,3,Monthly,1,Myself,Food must be forst of all shared with someone,Nasi lemak,Roti Canai,Strongly agree,Health,Traditions,Fish,Fruits,Sugar,Salty Food,Expired food,Germs or bacteria in Food,Contamination by Pollutant,Eat halal,Pray,Malay,Malaysian,Chinese,Buddhist,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,153.0,1.53,68.0,29.04865649963689,Factory Worker,,Plantation worker,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,2.0,4,5000,Have remained more or less stable,Yes
22,Selangor,Central,Yes,Female,SubUrban,22,Indian,3 meals per day,3 Meals,Once or twice a day,Cereals with Milk +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",Only Beverage,14,7,21,Daily,1.0,Monthly,2,Monthly,2,Seldom,0,Seldom,0,Weekly,2,Weekly,1,Monthly,1,Daily,1,Seldom,0,0.0,Weekly,2.0,Seldom,0,Weekly,2,Monthly,1,Daily,1,Monthly,1,Monthly,3.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Weekly,1,Monthly,2,Daily,1,Monthly,2,Seldom,0,Seldom,0,Weekly,1,Monthly,3,Monthly,1,Weekly,1,Weekly,1,My Mother,Food must be first of all a need,Nasi Lemak,Tom Yam,Strongly agree,Togetherness,Traditions,Breakfast,Meat,Salt,Oily Food,Unbalance diet to fat or too much sugar,Expired food,Food allergens,Hinduism,Indian,Karma,Malaysian,Indian,Hindu,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Malay,English,Tamil,,,,,,Hindu,No,Not converted,Moderately religious,162.0,1.62,45.0,17.146776406035663,Decline to answer,Decline to answer,Decline to answer,College / University,Single or never married,,0.0,2,4000,Have remained more or less stable,Yes
132,Selangor,Central,Yes,Male,Urban,20,Indian,3 meals per day,3 Meals,Once or twice a day,Cereals with Milk +/- Beverage,,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,Soup +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",16,3,19,Weekly,4.0,Weekly,2,Monthly,1,Monthly,2,Seldom,0,Weekly,1,Monthly,2,Monthly,2,Weekly,2,Weekly,1,0.14,Seldom,0.0,Seldom,0,Weekly,2,Monthly,1,Daily,1,Weekly,1,Weekly,2.0,Monthly,1,Monthly,1,Seldom,0,Seldom,0,Daily,1,Weekly,2,Daily,2,Weekly,3,Weekly,1,Seldom,0,Weekly,2,Weekly,2,Weekly,2,Weekly,1,Weekly,1,My Mother,Food must be first of all a need,Nasi lemak,Rendang,Strongly agree,Fill the stomach,Gives Energy,Milk,Vegetables,Sugar,Fatty Food,Unbalance diet to fat or too much sugar,Food allergens,Expired food,Indian,Muslim,Songkok,Indian,Muslim,Malaysian,Indian - Malay,Indo - European,Indian,Malay,Indian,Malay,Malay,English,Tamil,,,,,,Muslim,No,Not converted,Very religious,173.0,1.73,60.0,20.04744562130375,Student,,Decline to answer,College / University,Single or never married,,0.0,5,4000,Have remained more or less stable,Yes
1054,Sabah,East Malaysia,Yes,Female,SubUrban,30,Non-Malay Bumiputra,3 meals per day,3 Meals,Once or twice a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,,,21,0,21,Weekly,4.0,Weekly,1,Monthly,2,Monthly,2,Seldom,0,Weekly,1,Monthly,3,Monthly,1,Weekly,2,Weekly,2,0.29,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,1,Monthly,1,Weekly,1.0,Monthly,1,Seldom,0,Monthly,3,Seldom,0,Weekly,2,Monthly,1,Weekly,3,Weekly,2,Seldom,0,Seldom,0,Weekly,1,Weekly,1,Weekly,1,Monthly,1,Weekly,1,Myself,Food must be first of all a need,Nasi lemak,Roti Canai,Strongly agree,Fill the stomach,Health,Ginger,Turmeric,Sugar,Ajinomoto,Colouring or preservatives,Pesticides on agricultural products,Contamination by Pollutant,Traditional dance,Language,Festivals,Non Muslim Bumiputra,Christian,Malaysian,Bidayuh,Kadazan - Chinese,Kadazan - Chinese,Kadazan - Chinese,Kadazan - Chinese,Kadazan - Chinese,Malay,,,,,,Kadazan,,Christian,No,Not converted,Moderately religious,152.0,1.52,72.0,31.16343490304709,Student,,Salesperson,Lower secondary school / SRP,Married in monogamous marriage,,2.0,5,5000,Have decreased more than 10%,Yes
202,Johor,South,Yes,Female,SubUrban,36,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",,19,2,21,Daily,1.0,Weekly,3,Seldom,0,Seldom,0,Seldom,0,Weekly,2,Weekly,5,Seldom,0,Weekly,4,Seldom,0,0.0,Seldom,0.0,Seldom,0,Weekly,4,Weekly,3,Weekly,4,Monthly,1,Weekly,4.0,Seldom,0,Seldom,0,Seldom,0,Weekly,2,Seldom,0,Seldom,0,Weekly,1,Weekly,1,Monthly,2,Weekly,3,Weekly,1,Weekly,3,Monthly,1,Seldom,0,Seldom,0,Myself,Food must be first of all a pleasure,Roti Canai,Nasi Rendang,Agree,Health,Fill the stomach,Mineral Water,Vegetables,Oily Food,Carbonated Drinks,Unbalance diet to fat or too much sugar,Expired food,Pesticides on agricultural products,Eat halal,Pray,Wear tudung,Muslim,Malay,Bumiputra,Malay,Malay,Bugis,Bugis,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,156.0,1.56,90.0,36.98224852071006,Operation,,Clinic Assistant,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,2.0,4,3000,Have remained more or less stable,No
616,Kuala Lumpur,Central,Yes,Female,Urban,42,Chinese,3 meals per day,3 Meals,3 - 4 times a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,Only Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",7,12,19,Daily,1.0,Weekly,2,Weekly,2,Monthly,3,Seldom,0,Daily,1,Weekly,2,Seldom,0,Weekly,3,Seldom,0,0.0,Weekly,1.0,Seldom,0,Weekly,3,Seldom,0,Weekly,2,Monthly,2,Weekly,2.0,Weekly,3,Seldom,0,Weekly,2,Seldom,0,Daily,4,Monthly,3,Daily,3,Weekly,2,Weekly,1,Weekly,1,Seldom,0,Weekly,2,Weekly,2,Seldom,0,Seldom,0,Myself,Food must be first of all a need,Nasi Lemak,Roti Canai,Strongly agree,Fill the stomach,Gives Energy,Coffee,Protein,Sugar,Processed Food,Germs or bacteria in Food,Food epidemic,Food allergens,Saree,Cheongsam,Chindian,Muslim,Malay,Malaysian,Chinese,Indian,Chinese,Chinese,Indian,Indian,Malay,English,Mandarin,Cantonese,Hokkien,,,,Hindu,No,Not converted,Moderately religious,155.0,1.55,55.0,22.892819979188346,Doctor,,Decline to answer,Others,Living in as married (or cohabitation),Indian,1.0,3,28000,Have increased more than 10%,Yes
1120,Perak,Central,Yes,Female,SubUrban,57,Malay,1 meal per day,1 or 2 Meal(s),Never,Breakfast with Toast +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,7,10,17,Daily,1.0,Daily,2,Monthly,1,Monthly,2,Seldom,0,Weekly,2,Seldom,0,Seldom,0,Weekly,2,Weekly,2,0.29,Seldom,0.0,Seldom,0,Monthly,1,Seldom,0,Weekly,2,Seldom,0,Seldom,0.0,Seldom,0,Seldom,0,Monthly,2,Seldom,0,Weekly,1,Seldom,0,Weekly,2,Weekly,2,Weekly,2,Seldom,0,Seldom,0,Weekly,1,Weekly,2,Weekly,2,Monthly,1,Myself,Food must be first of all a need,Mixed Rice,Laksa,Agree,Health,Traditions,Eggs,Chicken,Meat,Vegetables,Pesticides on agricultural products,Genetically Modify Organism (GMO),Unbalance diet to fat or too much sugar,Wear tudung,Songkok,Kain pelikat,Muslim,Malay,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,150.0,1.5,62.0,27.555555555555557,Operator,,Own business,Primary school,Single or never married,,0.0,5,2000,Have remained more or less stable,No
1445,Terengganu,East Coast,Yes,Male,SubUrban,55,Malay,3 meals per day,3 Meals,Never,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,14,7,21,Daily,2.0,Daily,1,Seldom,0,Daily,1,Monthly,1,Weekly,2,Seldom,0,Monthly,1,Weekly,5,Weekly,2,0.29,Seldom,0.0,Seldom,0,Weekly,2,Monthly,1,Weekly,5,Seldom,0,Weekly,1.0,Monthly,2,Weekly,1,Seldom,0,Seldom,0,Monthly,2,Weekly,4,Daily,2,Weekly,2,Daily,1,Weekly,1,Monthly,2,Weekly,2,Daily,1,Monthly,1,Seldom,0,My wife,Food must be first of all a need,Roti canai,Fried mee,Agree,Health,Pleasure,Vegetables,Milk,Salt,Sugar,Unbalance diet to fat or too much sugar,Expired food,Colouring or preservatives,Baju Melayu,Baju Kurung,Wear tudung,Muslim,Malay,Bumiputra,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,170.0,1.7,52.0,17.99307958477509,Student,,Factory,Primary school,Married in monogamous marriage,Malay,0.0,4,3000,Have increased more than 10%,No
1453,Sarawak,East Malaysia,Yes,Male,SubUrban,50,Malay,2 meals per day,1 or 2 Meal(s),Never,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage","Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Rice / Roti Canai / Noodles +/- Beverage,14,7,21,Weekly,4.0,Daily,1,Monthly,2,Seldom,0,Seldom,0,Weekly,1,Monthly,3,Monthly,1,Weekly,2,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,1,Monthly,1,Monthly,2.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Weekly,2,Monthly,1,Weekly,3,Weekly,2,Seldom,0,Seldom,0,Weekly,1,Weekly,2,Weekly,2,Monthly,1,Weekly,1,My wife,Food must be first of all a need,Chicken,Fish,Agree,Health,Togetherness,Fruits,Vegetables,Sugar,Salty Food,Pesticides on agricultural products,Genetically Modify Organism (GMO),Expired food,Polite,Respectful,Good,Muslim,Malay,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,172.0,1.72,49.0,16.563007030827475,Student,,Hawker,Lower secondary school / SRP,Married in monogamous marriage,Malay,4.0,8,4000,Have remained more or less stable,No
